x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
-0.152176,-0.229752,-0.935654,0.975393,252075.922802,2001-01-03 20:01:15.923 -0200
-0.147675,-0.202866,-0.952530,0.985026,252075.893365,2001-01-03 20:01:15.893 -0200
-0.078491,-0.189011,-0.952606,0.974343,252075.863929,2001-01-03 20:01:15.864 -0200
-0.041550,-0.141800,-1.021835,1.032464,252075.834494,2001-01-03 20:01:15.834 -0200
-0.000443,-0.202225,-1.208252,1.225058,252075.805058,2001-01-03 20:01:15.805 -0200
-0.042648,-0.270203,-1.266510,1.295714,252075.775621,2001-01-03 20:01:15.776 -0200
-0.041504,-0.331192,-1.095093,1.144831,252075.746183,2001-01-03 20:01:15.746 -0200
0.051056,-0.354645,-0.944855,1.010510,252075.716748,2001-01-03 20:01:15.717 -0200
0.114975,-0.334610,-0.943542,1.007698,252075.687313,2001-01-03 20:01:15.687 -0200
0.095764,-0.273376,-0.956528,0.999425,252075.657858,2001-01-03 20:01:15.658 -0200
0.060684,-0.202072,-0.928421,0.952093,252075.628438,2001-01-03 20:01:15.628 -0200
0.057526,-0.217926,-0.897598,0.925464,252075.598998,2001-01-03 20:01:15.599 -0200
0.004654,-0.252472,-0.898270,0.933087,252075.569561,2001-01-03 20:01:15.570 -0200
0.005951,-0.221207,-0.914764,0.941149,252075.540126,2001-01-03 20:01:15.540 -0200
0.066528,-0.194107,-0.931290,0.953627,252075.510692,2001-01-03 20:01:15.511 -0200
0.075546,-0.184845,-0.930481,0.951667,252075.481206,2001-01-03 20:01:15.481 -0200
0.077637,-0.169739,-0.930099,0.948643,252075.451791,2001-01-03 20:01:15.452 -0200
0.049179,-0.154495,-0.950821,0.964545,252075.422355,2001-01-03 20:01:15.422 -0200
0.085022,-0.158478,-0.966431,0.983022,252075.392917,2001-01-03 20:01:15.393 -0200
0.103699,-0.116318,-0.912109,0.925325,252075.363478,2001-01-03 20:01:15.363 -0200
0.093353,-0.061966,-0.920059,0.926857,252075.334041,2001-01-03 20:01:15.334 -0200
0.126755,-0.086929,-0.976349,0.988373,252075.304604,2001-01-03 20:01:15.305 -0200
0.080841,-0.105728,-0.983444,0.992409,252075.275170,2001-01-03 20:01:15.275 -0200
0.030029,-0.079910,-1.002869,1.006495,252075.245734,2001-01-03 20:01:15.246 -0200
0.039032,-0.074280,-1.012680,1.016151,252075.216296,2001-01-03 20:01:15.216 -0200
0.181503,-0.116959,-1.013351,1.036100,252075.186860,2001-01-03 20:01:15.187 -0200
0.203369,-0.065460,-0.991272,1.014034,252075.157427,2001-01-03 20:01:15.157 -0200
0.221054,-0.006927,-1.025848,1.049418,252075.127978,2001-01-03 20:01:15.128 -0200
0.258591,-0.023956,-1.156723,1.185517,252075.098553,2001-01-03 20:01:15.099 -0200
0.195145,-0.065598,-1.190689,1.208356,252075.069116,2001-01-03 20:01:15.069 -0200
0.118256,-0.117111,-1.063080,1.076029,252075.039680,2001-01-03 20:01:15.040 -0200
0.192993,-0.233124,-1.007141,1.051630,252075.010245,2001-01-03 20:01:15.010 -0200
0.200134,-0.209991,-1.007690,1.048613,252074.980810,2001-01-03 20:01:14.981 -0200
0.161469,-0.153473,-0.988297,1.013092,252074.951374,2001-01-03 20:01:14.951 -0200
0.176636,-0.169937,-0.956299,0.987211,252074.921936,2001-01-03 20:01:14.922 -0200
0.175262,-0.180969,-0.933853,0.967238,252074.892498,2001-01-03 20:01:14.892 -0200
0.148148,-0.161057,-0.942444,0.967516,252074.863060,2001-01-03 20:01:14.863 -0200
0.113129,-0.156433,-0.962036,0.981215,252074.833622,2001-01-03 20:01:14.834 -0200
0.074219,-0.172134,-0.950623,0.968928,252074.804187,2001-01-03 20:01:14.804 -0200
0.018539,-0.150604,-0.906311,0.918926,252074.774751,2001-01-03 20:01:14.775 -0200
0.003983,-0.100815,-0.893890,0.899566,252074.745313,2001-01-03 20:01:14.745 -0200
0.059586,-0.029510,-0.973877,0.976144,252074.715880,2001-01-03 20:01:14.716 -0200
0.101379,0.038742,-1.111053,1.116342,252074.686443,2001-01-03 20:01:14.686 -0200
0.084320,0.031494,-1.109268,1.112914,252074.657005,2001-01-03 20:01:14.657 -0200
-0.047592,-0.020325,-0.995575,0.996919,252074.627563,2001-01-03 20:01:14.628 -0200
-0.116959,-0.076065,-0.894897,0.905708,252074.598122,2001-01-03 20:01:14.598 -0200
-0.084579,-0.111115,-0.908188,0.918861,252074.568682,2001-01-03 20:01:14.569 -0200
0.000854,-0.101868,-0.986038,0.991287,252074.539241,2001-01-03 20:01:14.539 -0200
0.130188,-0.011337,-1.125900,1.133459,252074.509800,2001-01-03 20:01:14.510 -0200
0.266632,0.049515,-1.262482,1.291280,252074.480358,2001-01-03 20:01:14.480 -0200
0.203888,0.021179,-1.215210,1.232377,252074.450916,2001-01-03 20:01:14.451 -0200
0.116165,-0.057877,-1.058746,1.066671,252074.421473,2001-01-03 20:01:14.421 -0200
0.099884,-0.073242,-0.987762,0.995498,252074.392033,2001-01-03 20:01:14.392 -0200
0.139816,0.005295,-1.010742,1.020381,252074.362595,2001-01-03 20:01:14.363 -0200
0.180191,-0.041061,-1.024338,1.040876,252074.333159,2001-01-03 20:01:14.333 -0200
0.098648,-0.068924,-0.950546,0.958134,252074.303722,2001-01-03 20:01:14.304 -0200
0.098282,-0.081009,-0.903519,0.912452,252074.274288,2001-01-03 20:01:14.274 -0200
0.152039,-0.119781,-0.957123,0.976498,252074.244851,2001-01-03 20:01:14.245 -0200
0.156372,-0.138260,-0.948212,0.970914,252074.215413,2001-01-03 20:01:14.215 -0200
0.138870,-0.118561,-0.883377,0.902051,252074.185978,2001-01-03 20:01:14.186 -0200
0.181564,-0.100937,-0.867935,0.892449,252074.156543,2001-01-03 20:01:14.157 -0200
0.237137,-0.093323,-0.930145,0.964424,252074.127108,2001-01-03 20:01:14.127 -0200
0.229904,-0.092957,-0.924561,0.957240,252074.097674,2001-01-03 20:01:14.098 -0200
0.214111,-0.044968,-0.868576,0.895706,252074.068238,2001-01-03 20:01:14.068 -0200
0.233887,0.006668,-0.935944,0.964748,252074.038804,2001-01-03 20:01:14.039 -0200
0.213150,0.041748,-1.088394,1.109855,252074.009368,2001-01-03 20:01:14.009 -0200
