time,x,y,z
0.023,-0.036,0.117,1.011
0.023,-0.033,0.119,1.019
0.024,-0.039,0.122,1.015
0.024,-0.037,0.122,1.008
0.024,-0.038,0.126,1.008
0.024,-0.036,0.123,1.007
0.024,-0.037,0.125,0.998
0.028,-0.036,0.126,0.994
0.033,-0.043,0.129,0.985
0.036,-0.038,0.133,0.987
0.039,-0.037,0.135,0.981
0.043,-0.036,0.136,0.978
0.047,-0.036,0.136,0.981
0.051,-0.040,0.135,0.990
0.055,-0.045,0.133,0.990
0.068,-0.044,0.132,0.991
0.069,-0.050,0.133,0.996
0.069,-0.045,0.136,0.995
0.072,-0.042,0.130,0.988
0.090,-0.038,0.130,0.983
0.091,-0.043,0.129,0.980
0.091,-0.041,0.129,0.977
0.091,-0.041,0.131,0.976
0.091,-0.041,0.128,0.965
0.100,-0.041,0.128,0.965
0.101,-0.037,0.125,0.959
0.102,-0.040,0.124,0.960
0.106,-0.033,0.122,0.959
0.114,-0.034,0.124,0.962
0.115,-0.035,0.128,0.970
0.118,-0.039,0.128,0.970
0.122,-0.037,0.125,0.972
0.128,-0.039,0.127,0.973
0.130,-0.036,0.126,0.978
0.134,-0.038,0.123,0.980
0.138,-0.039,0.123,0.982
0.142,-0.034,0.125,0.996
0.146,-0.041,0.122,0.998
0.149,-0.042,0.120,0.997
0.153,-0.041,0.114,1.000
0.166,-0.036,0.110,0.994
0.166,-0.031,0.103,0.995
0.166,-0.033,0.110,0.988
0.169,-0.033,0.117,0.986
0.173,-0.042,0.115,0.981
0.178,-0.040,0.112,0.980
0.181,-0.041,0.110,0.985
0.186,-0.044,0.115,0.988
0.190,-0.038,0.115,0.990
0.195,-0.038,0.112,0.991
0.197,-0.033,0.117,0.992
0.201,-0.037,0.119,0.992
0.205,-0.034,0.117,0.995
0.209,-0.029,0.117,0.994
0.213,-0.032,0.118,0.994
0.217,-0.032,0.126,0.994
0.221,-0.037,0.117,0.989
0.226,-0.037,0.124,0.995
0.229,-0.034,0.124,0.983
0.233,-0.030,0.120,0.980
0.237,-0.022,0.122,0.975
0.240,-0.021,0.118,0.975
0.245,-0.015,0.113,0.973
0.249,-0.013,0.110,0.974
0.252,-0.013,0.108,0.977
