time,x,y,z
0.007,-0.022,0.077,0.957
0.007,-0.025,0.088,0.966
0.007,-0.025,0.084,0.973
0.020,-0.028,0.090,0.980
0.020,-0.033,0.097,0.982
0.020,-0.041,0.101,0.986
0.024,-0.044,0.109,0.985
0.030,-0.047,0.113,0.983
0.031,-0.050,0.116,0.977
0.035,-0.055,0.119,0.980
0.039,-0.053,0.118,0.979
0.043,-0.047,0.111,0.983
0.047,-0.043,0.105,0.978
0.051,-0.036,0.098,0.972
0.055,-0.028,0.096,0.974
0.059,-0.028,0.093,0.972
0.063,-0.027,0.084,0.975
0.067,-0.020,0.085,0.976
0.070,-0.017,0.085,0.981
0.074,-0.020,0.085,0.982
0.081,-0.021,0.085,0.989
0.083,-0.026,0.087,0.994
0.086,-0.024,0.092,0.998
0.090,-0.022,0.095,1.005
0.096,-0.020,0.091,0.996
0.099,-0.018,0.098,0.998
0.103,-0.023,0.091,0.990
0.106,-0.020,0.093,0.992
0.110,-0.019,0.095,0.992
0.120,-0.023,0.097,0.995
0.120,-0.017,0.101,0.993
0.122,-0.022,0.100,0.997
0.126,-0.024,0.097,0.994
0.131,-0.028,0.096,0.994
0.134,-0.030,0.094,0.992
0.138,-0.026,0.098,0.996
0.142,-0.025,0.094,0.991
0.153,-0.015,0.094,0.986
0.154,-0.016,0.090,0.996
0.154,-0.014,0.092,0.985
0.158,-0.016,0.089,0.993
0.163,-0.015,0.094,0.994
0.166,-0.019,0.092,0.997
0.170,-0.020,0.097,1.001
0.173,-0.022,0.095,1.001
0.179,-0.022,0.091,0.998
0.182,-0.022,0.096,0.998
0.186,-0.026,0.099,0.994
0.189,-0.022,0.097,0.993
0.193,-0.027,0.097,0.992
0.197,-0.022,0.093,0.992
0.201,-0.021,0.098,0.996
0.205,-0.020,0.094,1.002
0.209,-0.024,0.090,0.998
0.220,-0.020,0.089,1.002
0.220,-0.019,0.086,1.008
0.221,-0.018,0.082,1.006
0.224,-0.016,0.081,0.998
0.229,-0.009,0.084,0.998
0.233,-0.010,0.078,0.998
0.237,-0.007,0.079,0.993
0.241,-0.002,0.081,0.993
0.253,-0.001,0.079,0.992
0.253,-0.002,0.078,0.990
0.253,0.002,0.079,0.992
0.257,-0.001,0.081,0.993
0.265,-0.003,0.086,0.989
0.265,-0.007,0.086,0.992
0.269,-0.009,0.087,0.996
0.272,-0.017,0.085,0.999
0.277,-0.019,0.086,0.997
0.281,-0.023,0.088,0.997
0.285,-0.028,0.093,1.000
0.289,-0.033,0.096,1.000
0.293,-0.034,0.089,1.004
0.299,-0.026,0.085,1.005
0.301,-0.026,0.090,1.004
0.305,-0.022,0.087,1.008
0.308,-0.018,0.082,1.004
0.320,-0.014,0.078,1.006
0.320,-0.015,0.073,1.005
0.320,-0.013,0.073,1.002
0.324,-0.003,0.074,1.006
0.333,-0.010,0.070,0.994
0.333,-0.008,0.064,0.996
0.336,0.000,0.067,0.997
0.341,0.000,0.063,0.999
0.344,0.000,0.067,1.001
0.348,-0.004,0.063,1.002
0.352,-0.008,0.065,1.005
0.355,-0.004,0.063,1.003
0.359,-0.006,0.066,1.004
0.364,-0.010,0.071,1.003
0.368,-0.017,0.076,1.000
0.372,-0.019,0.082,0.993
0.375,-0.021,0.087,0.993
0.380,-0.014,0.084,0.987
0.384,-0.018,0.082,0.983
0.388,-0.020,0.084,0.976
0.391,-0.025,0.089,0.978
0.397,-0.026,0.090,0.978
0.400,-0.027,0.084,0.987
0.404,-0.022,0.078,0.997
0.407,-0.013,0.071,1.001
0.411,-0.007,0.072,1.010
0.421,-0.001,0.064,1.001
0.421,0.003,0.066,1.011
0.423,0.014,0.066,1.003
0.430,0.020,0.059,0.992
0.431,0.035,0.060,0.981
0.435,0.032,0.057,0.969
0.439,0.036,0.059,0.963
0.444,0.037,0.052,0.953
0.455,0.041,0.048,0.956
0.456,0.038,0.053,0.957
0.456,0.034,0.064,0.966
0.459,0.015,0.083,0.976
0.464,-0.002,0.099,0.990
0.467,-0.018,0.122,1.001
0.471,-0.033,0.137,1.013
0.474,-0.043,0.145,1.014
0.481,-0.051,0.153,1.019
0.483,-0.052,0.155,1.016
0.487,-0.045,0.147,1.010
0.490,-0.036,0.142,1.010
0.495,-0.022,0.124,1.008
0.499,-0.011,0.106,0.993
0.503,0.006,0.088,0.993
0.506,0.024,0.074,0.986
0.510,0.044,0.050,0.980
0.516,0.055,0.024,0.976
0.518,0.071,0.009,0.971
0.523,0.077,-0.005,0.963
0.526,0.075,-0.008,0.962
0.541,0.075,-0.014,0.961
0.541,0.070,-0.014,0.963
0.541,0.069,-0.012,0.967
0.542,0.063,-0.011,0.972
0.548,0.058,-0.006,0.984
0.551,0.058,0.001,0.991
0.554,0.060,0.008,0.997
0.558,0.052,0.012,1.001
0.563,0.050,0.017,1.010
0.566,0.041,0.020,1.014
0.570,0.032,0.027,1.010
0.574,0.023,0.033,1.010
0.578,0.012,0.044,1.010
0.583,0.008,0.049,1.010
0.586,0.006,0.051,1.009
0.590,0.006,0.054,1.014
0.593,0.008,0.056,1.012
0.600,0.004,0.059,1.004
0.601,0.013,0.055,1.001
0.606,0.014,0.053,0.985
0.609,0.021,0.054,0.975
0.625,0.019,0.057,0.969
0.625,0.023,0.052,0.948
0.625,0.031,0.049,0.931
0.625,0.036,0.047,0.942
0.633,0.039,0.048,0.952
0.634,0.048,0.044,0.973
0.637,0.059,0.045,0.989
0.641,0.047,0.046,0.994
0.647,0.035,0.054,0.997
0.649,0.021,0.061,0.992
0.653,0.024,0.065,0.995
0.657,0.017,0.064,0.990
0.660,0.012,0.064,0.991
0.665,0.006,0.068,0.993
0.669,0.011,0.069,0.993
0.673,0.008,0.069,0.992
0.676,0.008,0.065,0.994
0.681,0.006,0.068,0.993
0.685,0.006,0.069,0.998
0.688,0.009,0.065,1.010
0.692,0.010,0.067,1.016
0.700,0.000,0.074,1.024
0.701,0.002,0.069,1.018
