x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
0.312424,-0.543716,-0.855133,1.060419,232327.991478,2001-01-03 14:32:07.991 -0200
0.352692,-0.527328,-0.884598,1.088568,232327.961897,2001-01-03 14:32:07.962 -0200
0.354355,-0.543716,-0.637070,0.909424,232327.932475,2001-01-03 14:32:07.932 -0200
0.264191,-0.506470,-0.857117,1.030028,232327.902922,2001-01-03 14:32:07.903 -0200
0.291260,-0.514481,-0.852310,1.037283,232327.873378,2001-01-03 14:32:07.873 -0200
0.297485,-0.518555,-0.833160,1.025452,232327.843844,2001-01-03 14:32:07.844 -0200
0.317642,-0.522858,-0.837708,1.037319,232327.814346,2001-01-03 14:32:07.814 -0200
0.306778,-0.524796,-0.824310,1.024212,232327.784657,2001-01-03 14:32:07.785 -0200
0.323944,-0.558746,-0.819107,1.043108,232327.755226,2001-01-03 14:32:07.755 -0200
0.299820,-0.513229,-0.824127,1.016111,232327.725707,2001-01-03 14:32:07.726 -0200
0.223175,-0.482513,-0.853073,1.005167,232327.696147,2001-01-03 14:32:07.696 -0200
0.262665,-0.499374,-0.885788,1.050232,232327.666578,2001-01-03 14:32:07.667 -0200
0.266296,-0.496796,-0.903931,1.065275,232327.636950,2001-01-03 14:32:07.637 -0200
0.208740,-0.469254,-0.852905,0.995600,232327.607513,2001-01-03 14:32:07.608 -0200
0.202545,-0.468033,-0.865372,1.004464,232327.577873,2001-01-03 14:32:07.578 -0200
0.233368,-0.489532,-0.920166,1.068086,232327.548434,2001-01-03 14:32:07.548 -0200
0.166656,-0.436142,-0.900986,1.014776,232327.518890,2001-01-03 14:32:07.519 -0200
0.082016,-0.433136,-0.889191,0.992468,232327.489352,2001-01-03 14:32:07.489 -0200
0.042908,-0.423172,-0.927124,1.020037,232327.459813,2001-01-03 14:32:07.460 -0200
0.024017,-0.406876,-0.989105,1.069791,232327.430175,2001-01-03 14:32:07.430 -0200
0.029221,-0.389069,-0.960587,1.036800,232327.400728,2001-01-03 14:32:07.401 -0200
0.021454,-0.399048,-0.953384,1.033751,232327.371186,2001-01-03 14:32:07.371 -0200
0.022232,-0.397232,-0.957886,1.037224,232327.341532,2001-01-03 14:32:07.342 -0200
0.019104,-0.393433,-0.960892,1.038493,232327.312086,2001-01-03 14:32:07.312 -0200
0.038055,-0.385986,-0.967041,1.041922,232327.282457,2001-01-03 14:32:07.282 -0200
0.015396,-0.378830,-0.958160,1.030447,232327.253007,2001-01-03 14:32:07.253 -0200
0.017746,-0.400681,-0.955734,1.036479,232327.223360,2001-01-03 14:32:07.223 -0200
0.018265,-0.386932,-0.964325,1.039217,232327.193820,2001-01-03 14:32:07.194 -0200
0.026581,-0.394623,-0.942886,1.022481,232327.164389,2001-01-03 14:32:07.164 -0200
0.020111,-0.396881,-0.954819,1.034214,232327.134762,2001-01-03 14:32:07.135 -0200
0.028625,-0.399338,-0.957336,1.037682,232327.105326,2001-01-03 14:32:07.105 -0200
