time,x,y,z
0.008,-0.024,0.083,1.086
0.008,-0.021,0.083,1.080
0.009,-0.017,0.083,1.070
0.013,-0.021,0.088,1.060
0.017,-0.018,0.085,1.051
0.021,-0.018,0.087,1.033
0.025,-0.018,0.090,1.020
0.029,-0.017,0.094,1.006
0.033,-0.016,0.090,0.993
0.037,-0.009,0.094,0.980
0.040,-0.009,0.094,0.970
0.044,-0.016,0.092,0.963
0.052,-0.018,0.096,0.958
0.053,-0.021,0.103,0.956
0.060,-0.014,0.101,0.954
0.060,-0.010,0.106,0.949
0.069,-0.010,0.105,0.943
0.069,-0.011,0.105,0.942
0.072,-0.013,0.107,0.949
0.076,-0.016,0.098,0.951
0.080,-0.018,0.102,0.963
0.084,-0.014,0.098,0.967
0.088,-0.012,0.095,0.979
0.091,-0.009,0.092,0.984
0.096,-0.015,0.095,0.994
0.100,-0.019,0.098,0.998
0.104,-0.025,0.100,0.999
0.107,-0.029,0.100,0.997
0.111,-0.027,0.105,0.997
0.115,-0.031,0.105,0.991
0.120,-0.033,0.107,0.987
0.123,-0.027,0.106,0.984
0.128,-0.029,0.104,0.982
0.133,-0.028,0.105,0.986
0.135,-0.030,0.108,0.980
0.139,-0.023,0.104,0.978
0.143,-0.017,0.102,0.981
0.149,-0.021,0.100,0.978
0.151,-0.021,0.098,0.983
0.155,-0.021,0.097,0.985
0.159,-0.020,0.100,0.990
0.163,-0.017,0.098,0.989
0.177,-0.015,0.096,0.997
0.177,-0.017,0.094,1.000
0.177,-0.010,0.096,0.994
0.179,-0.005,0.090,0.995
0.184,-0.007,0.092,1.000
0.192,-0.006,0.091,1.000
0.192,-0.011,0.087,0.993
0.194,-0.009,0.086,0.990
0.199,-0.006,0.087,0.986
0.203,-0.004,0.093,0.985
0.206,-0.004,0.090,0.987
0.210,-0.004,0.091,0.979
0.216,-0.007,0.097,0.980
0.219,-0.005,0.095,0.979
0.222,-0.004,0.091,0.985
0.226,-0.006,0.094,0.987
0.232,-0.009,0.089,0.989
0.234,-0.009,0.090,0.996
0.239,-0.004,0.090,0.998
0.242,-0.008,0.090,0.999
0.246,-0.006,0.089,1.006
0.250,-0.002,0.085,1.005
0.254,-0.005,0.087,1.001
0.258,-0.004,0.090,0.997
0.262,-0.003,0.088,0.990
0.277,-0.006,0.090,0.985
0.277,-0.006,0.090,0.981
0.277,-0.007,0.085,0.976
0.277,-0.006,0.094,0.973
0.283,-0.006,0.095,0.976
0.285,-0.008,0.094,0.974
0.289,-0.012,0.096,0.974
0.294,-0.017,0.101,0.969
0.299,-0.016,0.104,0.968
0.302,-0.019,0.106,0.963
0.306,-0.018,0.107,0.963
0.310,-0.013,0.109,0.957
0.314,-0.023,0.116,0.957
0.317,-0.026,0.119,0.957
