time,x,y,z
0.749,-0.124,0.174,0.953
0.753,-0.114,0.170,0.955
0.757,-0.113,0.166,0.952
0.761,-0.109,0.160,0.945
0.766,-0.100,0.160,0.945
0.768,-0.098,0.153,0.941
0.773,-0.087,0.152,0.940
0.776,-0.082,0.153,0.937
0.782,-0.077,0.151,0.940
0.784,-0.071,0.142,0.944
0.788,-0.070,0.139,0.947
0.794,-0.066,0.139,0.947
0.800,-0.066,0.135,0.946
0.800,-0.063,0.133,0.948
0.805,-0.067,0.132,0.950
0.808,-0.084,0.139,0.943
0.812,-0.137,0.171,0.939
0.819,-0.100,0.168,0.962
0.819,-0.079,0.159,0.964
0.823,-0.070,0.148,0.963
0.827,-0.071,0.130,0.955
0.832,-0.079,0.118,0.959
0.835,-0.100,0.119,0.987
0.839,-0.161,0.156,1.191
0.843,-0.161,0.148,1.154
0.848,-0.154,0.141,1.117
0.851,-0.143,0.141,1.089
0.855,-0.121,0.138,1.065
0.859,-0.115,0.135,1.053
0.865,-0.105,0.133,1.044
0.867,-0.102,0.127,1.027
0.871,-0.107,0.119,1.024
0.876,-0.096,0.116,1.017
0.879,-0.100,0.117,1.010
0.883,-0.101,0.117,1.001
0.887,-0.104,0.121,0.994
0.891,-0.105,0.127,0.989
0.895,-0.111,0.137,0.982
0.901,-0.128,0.157,0.978
0.903,-0.136,0.174,0.977
0.907,-0.148,0.189,0.979
0.911,-0.169,0.206,0.979
0.915,-0.189,0.223,0.974
0.919,-0.208,0.241,0.978
0.922,-0.220,0.259,0.981
0.927,-0.237,0.274,0.985
0.932,-0.242,0.283,0.984
0.935,-0.244,0.284,0.984
0.938,-0.243,0.286,0.986
0.942,-0.239,0.281,0.984
0.948,-0.238,0.274,0.978
0.951,-0.231,0.267,0.975
0.955,-0.219,0.257,0.971
0.958,-0.207,0.247,0.974
0.962,-0.199,0.232,0.984
0.966,-0.188,0.222,0.992
0.971,-0.175,0.202,1.008
0.974,-0.160,0.178,1.026
0.979,-0.155,0.178,1.015
0.982,-0.116,0.137,1.048
0.986,-0.037,0.044,1.053
