x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
0.189911,-0.247711,-0.907852,0.960012,251701.382966,2001-01-03 19:55:01.383 -0200
0.188522,-0.286148,-1.005844,1.062612,251701.353513,2001-01-03 19:55:01.354 -0200
0.155914,-0.300049,-0.975266,1.032222,251701.324050,2001-01-03 19:55:01.324 -0200
0.161011,-0.307983,-0.933319,0.995923,251701.294610,2001-01-03 19:55:01.295 -0200
0.122360,-0.297852,-0.949921,1.003014,251701.265163,2001-01-03 19:55:01.265 -0200
0.131210,-0.328583,-0.969315,1.031869,251701.235713,2001-01-03 19:55:01.236 -0200
0.078613,-0.308273,-0.978592,1.029007,251701.206263,2001-01-03 19:55:01.206 -0200
0.133759,-0.282364,-0.952393,1.002333,251701.176809,2001-01-03 19:55:01.177 -0200
0.116806,-0.285614,-0.945724,0.994793,251701.147364,2001-01-03 19:55:01.147 -0200
0.108475,-0.291534,-0.924347,0.975283,251701.117914,2001-01-03 19:55:01.118 -0200
0.120682,-0.287994,-0.925903,0.977140,251701.088465,2001-01-03 19:55:01.088 -0200
0.134705,-0.270966,-0.931519,0.979436,251701.059014,2001-01-03 19:55:01.059 -0200
0.126343,-0.292801,-0.971924,1.022903,251701.029565,2001-01-03 19:55:01.030 -0200
0.112015,-0.287521,-0.952271,1.001017,251701.000096,2001-01-03 19:55:01.000 -0200
0.127350,-0.279968,-0.947052,0.995745,251700.970668,2001-01-03 19:55:00.971 -0200
0.126633,-0.268341,-0.969193,1.013596,251700.941217,2001-01-03 19:55:00.941 -0200
0.114532,-0.281372,-0.959930,1.006854,251700.911767,2001-01-03 19:55:00.912 -0200
0.113495,-0.286697,-0.933197,0.982819,251700.882316,2001-01-03 19:55:00.882 -0200
0.123367,-0.274918,-0.963531,1.009550,251700.852865,2001-01-03 19:55:00.853 -0200
0.132309,-0.257767,-0.977936,1.019955,251700.823410,2001-01-03 19:55:00.823 -0200
0.112686,-0.280228,-0.956009,1.002586,251700.793959,2001-01-03 19:55:00.794 -0200
0.105804,-0.301437,-0.947006,0.999440,251700.764505,2001-01-03 19:55:00.765 -0200
0.120651,-0.272934,-0.962738,1.007926,251700.735052,2001-01-03 19:55:00.735 -0200
0.150497,-0.268250,-0.968506,1.016175,251700.705599,2001-01-03 19:55:00.706 -0200
0.132095,-0.300308,-0.962067,1.016468,251700.676145,2001-01-03 19:55:00.676 -0200
0.143082,-0.289078,-0.942993,0.996632,251700.646685,2001-01-03 19:55:00.647 -0200
0.138397,-0.285736,-0.949112,1.000806,251700.617241,2001-01-03 19:55:00.617 -0200
0.128662,-0.309326,-0.945816,1.003397,251700.587792,2001-01-03 19:55:00.588 -0200
0.103928,-0.301437,-0.930298,0.983422,251700.558341,2001-01-03 19:55:00.558 -0200
0.119049,-0.306686,-0.970840,1.025066,251700.528892,2001-01-03 19:55:00.529 -0200
0.092300,-0.261597,-0.983856,1.022216,251700.499441,2001-01-03 19:55:00.499 -0200
0.108505,-0.287231,-0.960052,1.007956,251700.469988,2001-01-03 19:55:00.470 -0200
0.097488,-0.303467,-0.940491,0.993035,251700.440534,2001-01-03 19:55:00.441 -0200
0.115219,-0.267624,-0.937790,0.982012,251700.411084,2001-01-03 19:55:00.411 -0200
0.105499,-0.239929,-0.965363,1.000310,251700.381632,2001-01-03 19:55:00.382 -0200
0.086990,-0.281830,-0.965500,1.009547,251700.352182,2001-01-03 19:55:00.352 -0200
0.077454,-0.334534,-0.941986,1.002621,251700.322733,2001-01-03 19:55:00.323 -0200
0.060272,-0.290878,-0.946823,0.992329,251700.293261,2001-01-03 19:55:00.293 -0200
0.096176,-0.244247,-0.997971,1.031917,251700.263831,2001-01-03 19:55:00.264 -0200
0.093582,-0.241058,-1.021912,1.054121,251700.234379,2001-01-03 19:55:00.234 -0200
