time,x,y,z
0.742,-0.014,0.056,0.983
0.746,-0.014,0.058,0.981
0.751,-0.019,0.060,0.976
0.754,-0.020,0.063,0.974
0.758,-0.021,0.056,0.966
0.762,-0.027,0.063,0.970
0.767,-0.023,0.062,0.970
0.770,-0.018,0.061,0.971
0.774,-0.018,0.064,0.973
0.778,-0.024,0.056,0.977
0.783,-0.022,0.064,0.977
0.786,-0.026,0.059,0.976
0.789,-0.024,0.062,0.977
0.797,-0.022,0.061,0.976
0.798,-0.024,0.064,0.977
0.805,-0.023,0.063,0.983
0.805,-0.030,0.061,0.986
0.809,-0.025,0.064,0.984
0.813,-0.024,0.063,0.980
0.820,-0.024,0.072,0.980
0.821,-0.025,0.070,0.969
0.825,-0.024,0.069,0.964
0.829,-0.020,0.060,0.962
0.862,-0.018,0.064,0.959
0.862,-0.018,0.064,0.959
0.863,-0.013,0.065,0.961
0.863,-0.015,0.070,0.961
0.863,-0.010,0.064,0.958
0.863,-0.009,0.063,0.961
0.863,-0.010,0.065,0.962
0.863,-0.008,0.065,0.971
0.865,-0.006,0.066,0.973
0.874,-0.005,0.064,0.978
0.874,-0.004,0.065,0.979
0.877,-0.005,0.069,0.978
0.880,-0.001,0.062,0.985
0.886,-0.001,0.062,0.984
0.888,-0.005,0.060,0.982
0.892,-0.002,0.059,0.986
0.896,-0.007,0.055,0.987
0.901,-0.004,0.055,0.991
0.904,-0.007,0.055,0.998
0.908,-0.005,0.053,1.000
0.912,-0.009,0.053,1.001
0.918,-0.004,0.051,1.004
0.920,-0.005,0.043,1.008
0.924,-0.002,0.047,1.012
0.927,-0.000,0.044,1.018
0.931,0.003,0.045,1.022
0.937,-0.002,0.048,1.019
0.939,0.000,0.046,1.019
0.943,0.000,0.051,1.015
0.948,0.003,0.051,1.016
0.952,0.005,0.051,1.014
0.956,0.001,0.048,1.010
0.959,0.003,0.050,1.012
0.963,0.003,0.052,1.011
0.967,-0.006,0.053,1.008
0.972,-0.002,0.054,1.006
0.975,-0.006,0.054,1.005
0.979,-0.006,0.056,1.006
0.984,-0.009,0.057,1.001
0.989,-0.010,0.058,1.000
